Link,Name,Image,About,HowToMake,Ingredients,Garnish,Glass,Flavor,BaseSpirit,CocktailType,Preparation,Served,Strength,Difficulty,Hours,Occasions,Theme,Brands
https://www.liquor.com/recipes/summer-lips/,Summer Lips,https://cdn.liquor.com/wp-content/uploads/2018/06/11131257/Lighten-Up-with-These-4-Riffs-on-the-Reverse-Vodka-Martini-summer-lips-720x720-slideshow-260x260.jpg,As beverage director at The Recess Room in Fountain Valley Calif. Dany Maldonado keeps the jigger busy with this slightly baroque but dangerously quaffable riff on the Martini featuring everything from Lillet Blanc apéritif to frozen melon balls. The Summer Lips has nine ingredients in all but deftly walks a tightrope between sweet dry fruity and most important not-too-boozy. Get ready for an endless summer! This recipe originally appeared as part of “Lighten Up with These 4 Riffs on the Reverse Vodka Martini.”,Add all the ingredients into a mixing glass with ice and stir until well-chilled. Double-strain into a chilled Nick &amp; Nora glass. Garnish with a speared honeydew melon ball.,Lillet blanc apéritif;Absolut Elyx vodka;Dry curaçao;Aquavit;Chardonnay;Green Chartreuse;Orange bitters;Frozen honeydew melon balls,Melon ball,Nick and Nora,Spirit-forward,Liqueurs;Vodka,Martinis,Stirred,Neat/Up,Strong,Simple,Evening,,Summer,Absolut;Chartreuse;Dolin;Lillet
https://www.liquor.com/recipes/better-half/,Better Half,https://cdn.liquor.com/wp-content/uploads/2018/06/11130509/Lighten-Up-with-These-4-Riffs-on-the-Reverse-Vodka-Martini-better-half-720x720-slideshow-260x260.jpg,Juyoung Kang the lead bartender at The Dorsey in Las Vegas loves the balance that amontillado sherry brings to cocktails. In this Vodka Martini variation she uses it along with chablis and a tiny bit of Grand Marnier to round out a drink that’s bracing but won’t knock you out in the summer heat. “A low-ABV cocktail keeps you happy and buzzed without you getting all tipsy” says Kang. “It’s like day drinking and being able to function and perform.”This recipe originally appeared as part of “Lighten Up with These 4 Riffs on the Reverse Vodka Martini.”,Add all the ingredients into a mixing glass with ice and stir until well-chilled. Strain into a chilled cocktail or coupe glass. Garnish with an orange peel.,Amontillado sherry;Vodka;Chablis;Grand Marnier,Orange peel,Cocktail;coupe,Spirit-forward,Sherry;Vodka,Martinis,Stirred,Neat/Up,Strong,Simple,Evening,summer,Summer,Grand Marnier
https://www.liquor.com/recipes/sandeman-cape-of-good-hope/,Cape of Good Hope,https://cdn.liquor.com/wp-content/uploads/2018/06/11092742/sandemanmoab_800x800-260x260.jpg,Annemarie Roberts’ innovative port cocktail draws inspiration from Portugal’s history of exploration. The story behind it along with the seamless mix of mouthwatering flavors was enough to win her the Sandeman Bartender Competition.,Add the port vermouth and gin into a mixing glass with ice and stir. With an atomizer spray the liqueur into a coupe. Pour the mixture into the coupe over 1 rooibos tea ice cube. Finish with a final spray of the liqueur. Grate cinnamon over top and place oregano leaves on the cube.,Sandeman 20-year-old tawny porto;Caperitif vermouth;Bluecoat barrel-finished gin;FEW Anguish &amp; Regret liqueur to spray with atomizer,Grated cinnamon;Oregano leaves,Coupe,,,Frozen Daiquiri Drink Recipes;Modern Classics;Non-alcoholic,,,,,,,,
https://www.liquor.com/recipes/sorrentino/,Sorrentino,https://cdn.liquor.com/wp-content/uploads/2018/06/08081644/sorrentino-720x720-article-260x260.jpg,A classic vermouth cocktail from southern Italy the Sorrentino bring sweet bitter and citrus flavors together in perfect unity. Be sure not to skip the thyme sprig which adds a whole other aromatic layer to the symphony. ,Fill a double Old Fashioned glass with ice. Add the vermouth limoncello and Campari and stir gently. Top with the soda water. Garnish with a thyme sprig and an orange slice.,Sweet vermouth;Limoncello;Campari;Soda water to top,Thyme sprig;Orange slice,Double Old Fashioned,Bitter;Fruity/Citrus-forward,Vermouth / Aperitif Wine,Modern Classics,Stirred,On the Rocks,Light,Simple,Afternoon,,Summer,Campari
https://www.liquor.com/recipes/mayan-michelada/,Mayan Michelada,https://cdn.liquor.com/wp-content/uploads/2018/06/07152803/5-Beer-Cocktails-for-your-Summer-Parties-mayan-michelada-720x720-slideshow-260x260.jpg,The Michelada is Mexico’s answer to the Bloody Mary. Be ready to crank out batches of this easy-mixing concoction at your next summer barbecue or brunch. Beer is usually the sole source of alcohol in this beverage but Tijuana Picnic’s take in New York City brings up the booziness with a splash of mezcal joven which also adds subtle smoke and agave notes. This recipe originally appeared as part of “5 Beer Cocktails for Your Summer Parties.”,Rim a pint glass with chipotle salt and set aside. Add all the ingredients except the beer into a shaker with ice and shake. Strain into the prepared glass over ice. Top with the beer. Garnish with a lime wedge. Use remaining lager to top off as needed.,Worcestershire sauce;Fresh lime juice;Agave syrup,Chipotle salt rim;Lime wedge,Pint,Spicy,Beer;Mezcal,Modern Classics,Shaken,On the Rocks,Medium,Medium,Afternoon,,Summer,Maggi;Modelo;Peloton
https://www.liquor.com/recipes/stunner/,Stunner,https://cdn.liquor.com/wp-content/uploads/2018/06/07151649/5-Beer-Cocktails-for-your-Summer-Parties-the-stunner-dry-hop-720x720-slideshow-260x260.jpg,Craft Irish whiskey meets tropical IPA in this cocktail created by Sam Ruppert at Chicago brewery DryHop. The balanced sipper gets sweetness and color from Heering cherry liqueur and demerara sugar syrup. The recipe calls for DryHop’s Shark Meets Hipster tropical wheat IPA but any similar style of IPA will do. To take it up a smoky notch add a few spritzes of peaty Laphroaig whisky mist to the final product.This recipe originally appeared as part of “5 Beer Cocktails for Your Summer Parties.”,Add all the ingredients except the scotch into a shaker with ice and shake until well-chilled. Strain into a highball glass over ice. Spray the scotch as a mist over top. Garnish with a skewered lemon wedge and cherry.,Demerara syrup;Fresh lemon juice;Bittermens Burlesque bitters;Laphroaig single-malt scotch to mist,Lemon wedge;Cherry,Highball,Bitter,Beer;Irish Whiskey;Liqueurs;Whiskey,Modern Classics,Shaken,On the Rocks,Medium,Medium,Afternoon,,Summer,Bittermens;DryHop;Glendalough;Heering
https://www.liquor.com/recipes/radler-paloma/,Radler Paloma,https://cdn.liquor.com/wp-content/uploads/2018/06/07150331/5-Beer-Cocktails-for-your-Summer-Parties-radler-paloma-720x720-slideshow-260x260.jpg,The alfresco rooftop at 8UP Drinkery & Kitchen in Louisville Ky. may be an ideal location to sip this grapefruit cooler but it tastes just as good mixed at home. This riff on the Mexican classic makes a match of tequila and Stiegl radler which get rounded out by fresh grapefruit and lime juices. The finished product is tall cool refreshing and just a hair boozier than your typical Paloma.This recipe originally appeared as part of “5 Beer Cocktails for Your Summer Parties.”,Add all the ingredients except the beer into a shaker with ice. and shake until well-chilled. Strain into a Collins glass over ice. Float the beer on top. Express the oil of a grapefruit peel over top and spear the peel as a garnish.,Tequila;Fresh grapefruit juice;Fresh lime juice;Simple syrup,Grapefruit peel,Collins,Fruity/Citrus-forward,Beer;Tequila,Modern Classics,Shaken,On the Rocks,Medium,Medium,Afternoon,,Summer,Stiegl
https://www.liquor.com/recipes/summer-ale-spritz/,Summer Ale Spritz,https://cdn.liquor.com/wp-content/uploads/2018/06/07145321/5-Beer-Cocktails-for-your-Summer-Parties-720x720-article-260x260.jpg,Channel your inner Italian with this beer spritz straight out of the Hollywood Hills. Rael Petit’s creation at Delilah in West Hollywood combines classic elements of the Aperol Spritz with the lemon and wheat backbone of Sam Adams summer ale. Adding a simple-to-make rosemary syrup lends the drink an herbal aroma that will feel at home during any garden party. This recipe originally appeared as part of “5 Beer Cocktails for Your Summer Parties.”,Add the beer syrup and lemon juice into a blender with ice and blend until smooth. Pour into a pilsner glass over pebble ice. Top with the Aperol. Garnish with a rosemary sprig and lime wheel and serve with a straw. *Rosemary syrup: Add 1 cup sugar 3 to 5 rosemary sprigs and 1 cup water into a saucepan along and cook on high for 7 minutes stirring until the sugar dissolves. Let cool for 15 minutes then strain. Keep sealed in a refrigerator for up to 2 weeks.,Rosemary syrup;Fresh lemon juice;Aperol,Rosemary sprig;Lime wheel,Pilsner,Herbaceous;Sweet,Beer,Frozen / Blended,Blended,On the Rocks,Light,Medium,Afternoon,,Summer,Aperol;Sam Adams
https://www.liquor.com/recipes/here-comes-the-sun/,Here Comes the Sun,https://cdn.liquor.com/wp-content/uploads/2018/06/07143833/5-Beer-Cocktails-for-your-Summer-Parties-here-comes-the-sun-720x720-slideshow-260x260.jpg,Washington D.C. restaurant and bar Roofers Union gets high marks for its beer program so it’s little surprise that some suds have bled into the cocktail list. As the drink’s name would suggest the Here Comes the Sun is bright in both color and flavor. Rye whiskey lends a spice and depth that play well with the ginger and lemon. A splash of wheat beer ties the citrus and spice elements together giving the whole shebang a refreshingly fizzy mouthfeel.This recipe originally appeared as part of “5 Beer Cocktails for Your Summer Parties.”,Add the whiskey syrup and lemon juice into a shaker with ice and shake. Strain into a chilled coupe. Top with the beer. Garnish with a lemon wedge. *Ginger syrup: In a small saucepan heat 1/2 cup fresh ginger juice (squeezed from freshly grated ginger root) until warm (but do not let boil) over low heat. Add 1 cup sugar and whisk until sugar is dissolved. Store the syrup in a sealed container in the refrigerator until ready to use.,Rye whiskey;Ginger syrup;Fresh lemon juice,Lemon wedge,Coupe,Sweet,Beer;Rye Whiskey;Whiskey,Modern Classics,Shaken,Neat/Up,Medium,Medium,,,Summer,Port City
https://www.liquor.com/recipes/green-eyes/,Green Eyes,https://cdn.liquor.com/wp-content/uploads/2018/06/06082205/11-Vodka-Cocktails-to-Drink-Bars-Now-rich-table-green-eyes-720x720-slideshow-260x260.jpg,While filling up on chefs Evan and Sarah Rich’s stellar food (hash browns on smoked fish cream cheese coconut shave ice over lime sherbet) Rich Table bar manager Tommy Quimby makes sure you drink well too. You may have seen the likes of cucumber lime and ginger with vodka before but the Green Eyes goes a new direction with sesame-oil-washed vodka. The drink is still green and garden-fresh but with a subtle nutty silkiness.This recipe originally appeared as part of “11 Vodka Cocktails to Drink in Bars Now.”,Add all the ingredients into a shaker with ice and shake. Strain into a chilled coupe glass. Garnish with a cucumber wheel. *Sesame-infused vodka: Combine 1/2 cup sesame oil and 3 1/2 cups vodka and shake then let infuse for 72 hours at room temperature. Place in freezer for 24 hours. Oil will solidify allowing to strain it out. Pass through a fine strainer before it thaws. **Cucumber ginger syrup: Juice 4 cups thinly sliced cucumber and strain. In a medium pot combine 2 cups thinly sliced ginger 4 cups sugar and 2 cups water and bring to a boil. Once it boils take off of burner and let cool to room temperature. Strain out ginger pieces and mix in cucumber juice. Bottle and refrigerate for up to 2 weeks.,Sesame-infused vodka;Cucumber ginger syrup;Fresh lime juice;Salt (or 2 squirts of saline solution),Cucumber wheel,Coupe,Herbaceous,Vodka,Modern Classics,Shaken,Neat/Up,Medium,Medium,Afternoon,,,Grey Goose
https://www.liquor.com/recipes/reyka-afram/,Áfram,https://cdn.liquor.com/wp-content/uploads/2018/08/08160759/reyka-afrom-720x720-260x260.jpg,Some might be surprised that Iceland is home to one of world’s finest vodkas but Reyka is precisely that. This cocktail recipe uses coconut milk and lime juice to showcase the pristine and delicious spirit. ,Add all the ingredients except the soda water into a shaker with ice and shake vigorously. Strain into a chilled Collins glass. Top with the soda water.,Reyka vodka;Coconut milk;Fresh lime juice;Turbinado simple syrup;Soda water to top,,Collins,Creamy;Fruity/Citrus-forward,Vodka,Modern Classics,Shaken,Neat/Up,Medium,Medium,Afternoon,World Cup,,Reyka
https://www.liquor.com/recipes/bourbon-strawberry-iced-tea/,Bourbon Strawberry Iced Tea,https://cdn.liquor.com/wp-content/uploads/2018/06/04100618/bourbon-strawberry-iced-tea-720x720-article-260x260.jpg,Bourbon strawberries and iced tea come together to make this mellow summer sipper perfect for the Fourth of July or any other day you’re craving something tall cool and easy-drinking.,Add the strawberries and lemon juice into a mixing glass and gently muddle. Add the syrup and bourbon fill the glass with ice and shake until well-chilled. Strain into a Collins glass over fresh ice. Top with unsweetened iced tea. Garnish with a mint sprig and skewered blueberries and strawberries.,Large fresh strawberries (sliced into quarters);Fresh lemon juice;Rich simple syrup (2 parts sugar 1 part water);Bourbon;Unsweetened iced tea to top,Mint sprig;Blueberries;Strawberries,Collins,Fruity/Citrus-forward;Sweet,Bourbon / American Whiskey;Whiskey,Modern Classics,Shaken,On the Rocks,Medium,Medium,Afternoon,Fourth of July,Summer,George Dickel
https://www.liquor.com/recipes/velvet-sea/,Velvet Sea,https://cdn.liquor.com/wp-content/uploads/2018/05/23103018/velvet-sea-720x720-recipe-260x260.jpg,Part cabaret part dinner theater The Speakeasy lets you step back in time to the 1920s with a choose-your-own-adventure-night underground in San Francisco’s Chinatown. The cocktails keep step with the magic thanks to producer and bar manager Geof Libby. This spring they opened a cozy new bar within the speakeasy Gaslamp Lounge. Alongside Death in the Afternoons and Sazeracs on the general menu Gaslamp features outstanding house drinks. The Velvet Sea is a crushable showcase of funky Jamaican aged rum given tart and spice layers from velvet falernum lime and a heavy float of Angostura bitters. This recipe originally appeared as part of “11 Hottest Cocktails to Drink in Bars Now: June 2018.”,Add the rum falernum and syrup into a shaker. Squeeze in 1/2 oz lime juice then drop in the shell of the pressed lime. Add ice and shake hard. Pour into a chilled rocks glass over ice and top with the bitters.,Sailor Jerry spiced rum;John D. Taylor Velvet falernum;Lime;Angostura bitters,Lime shell,Rocks,Spicy;Sweet,Rum,Modern Classics,Shaken,On the Rocks,Medium,Medium,Afternoon;Evening,,Summer,Angostura;John D. Taylor;Sailor Jerry;Small Hand Foods
https://www.liquor.com/recipes/watermelon-wine-spritzer/,Watermelon White Wine Spritze,https://cdn.liquor.com/wp-content/uploads/2018/05/21112503/Watermelon-Spritzer_720x720-260x260.jpg,This refreshing wine cocktail is easy to make and even easier to drink.The Watermelon White Wine Spritzer originally appeared in our DrinkWire channel.,Serves 4. Add the watermelon and agave nectar into a food processor or blender and pulse until smooth. If desired pour through a cheesecloth to strain. Pour 1/4 of the mixture into each of 4 cocktail classes. Top with equal parts white wine and club soda (about 1/2 cup each). Garnish with a watermelon wedge.,Watermelon cubed;Agave nectar;White wine;Club soda,Watermelon wedge,Cocktail,Fruity/Citrus-forward;Sweet,Wine,,Blended,Frozen;Neat/Up,Light,Medium,Afternoon;Morning/Brunch,Fourth of July;Labor Day;Memorial Day,Summer,
https://www.liquor.com/recipes/oaxacan-old-fashioned/,Oaxacan Old Fashioned,https://cdn.liquor.com/wp-content/uploads/2018/05/17091847/oaxacan-old-fashioned-720x720-article-260x260.jpg,A staple at NYC’s dearly departed Mayahuel this agave-based riff on the whiskey classic mixes tequila and mezcal with Angostura bitters and agave syrup. Go the extra mile and ignite your garnish for an added burst of flavor plus a pretty cool light show.  ,Add all the ingredients into an Old Fashioned glass with 1 large ice cube and stir until chilled. Garnish with a flamed orange peel.,Del Maguey San Luis Del Rio mezcal;Agave nectar;Angostura bitters,Flamed orange peel,Old Fashioned,Spirit-forward,Tequila,Modern Classics,Stirred,On the Rocks,Strong,Medium,Evening,,,Angostura;Del Maguey;Patrón
https://www.liquor.com/recipes/romulan-ale-fizz/,Romulan Ale Fizz,https://cdn.liquor.com/wp-content/uploads/2018/05/16120939/Romulan-Ale-Fizz-720x720-recipe-260x260.jpg,Romulan Ale is banned in the Federation but that shouldn’t stop you from enjoying a Gin Fizz in characteristic cobalt. By all accounts the Romulan Ale is quite strong so don’t be shy of the navy-strength gin. The last thing you’d want is to come off as sheepish in the face of one of our oldest rivals.This recipe originally appeared as part of “5 ‘Star Trek’ Cocktails to Try at Home.”,Chill a Collins glass with ice and set aside. Add the gin blue curaçao juice syrup and egg white into a shaker and dry-shake (without ice) to emulsify the egg. Add ice and shake until well-chilled. Strain into the prepared glass. Top with the tonic water and orange blossom water.,Navy-strength gin;Blue curaçao;Fresh lemon juice;Simple syrup;Egg white;Tonic water;Orange blossom water,,Collins,Sweet,Gin;Liqueurs,Modern Classics,Shaken,Neat/Up,Medium,Medium,Afternoon,,,
https://www.liquor.com/recipes/kanar-sazerac/,Kanar Sazerac,https://cdn.liquor.com/wp-content/uploads/2018/05/16120231/Kanar-Zazerac-720x720-recipe-260x260.jpg,Cardassians seem like a bitter people who crave a stiff drink so a Sazerac might be their go-to after a long day of selling your soul to the Dominion. The salt rim balances the bitterness and seems fitting for a species that throws back fish juice for breakfast. This recipe originally appeared as part of “5 ‘Star Trek’ Cocktails to Try at Home.”,Rim half of an Old Fashioned glass with salt and set aside. Add all the ingredients into a mixing glass with ice and stir until well-chilled. Strain into the prepared glass. Express a lemon peel over top and discard.,XO cognac;Fernet-Branca liqueur;Simple syrup;Angostura bitters;Orange bitters,Salt rim;Lemon oil,Old Fashioned,Spirit-forward,Cognac;Liqueurs,Modern Classics,Stirred,Neat/Up,Strong,Medium,Evening,,,Angostura;Fernet-Branca
https://www.liquor.com/recipes/irish-raktajino/,Irish Raktajino,https://cdn.liquor.com/wp-content/uploads/2018/05/16115514/Irish-Raktajino-720x720-recipe-260x260.jpg,The infamous Klingon coffee from “Star Trek: Deep Space Nine” is the base for this Irish Coffee riff. It’s something one might imagine Miles O’Brien and Worf concocting once the blood wine runs out. The goat milk gives it some funk and the smoked paprika provides an earthy spicy hit. Smells like Kronos!This recipe originally appeared as part of “5 ‘Star Trek’ Cocktails to Try at Home.”,Add all the ingredients into a shaker with ice and shake vigorously for 15 seconds. Strain into a large snifter. Dust a pinch of smoked paprika over the surface of the drink.,Irish whiskey;Simple syrup;Espresso (or cold-brew coffee);Whole milk,smoked paprika,Large snifter,Creamy,Irish Whiskey;Whiskey,Modern Classics,Shaken,Neat/Up,Medium,Medium,Evening,,,
https://www.liquor.com/recipes/plomeek-tea/,Plomeek Tea,https://cdn.liquor.com/wp-content/uploads/2018/05/16114643/Plomeek-Tea-720x720-recipe-260x260.jpg,Vulcans were probably not huge on intoxicants which is why this recipe for a refreshing and mentally invigorating iced tea contains only a blend of three teas with verjus the nonalcoholic juice of unripe wine grapes. It’s a great way to get some refreshment before a smug and self-satisfied meditation session. This recipe originally appeared as part of “5 ‘Star Trek’ Cocktails to Try at Home.”,Add the three teas and boiling water into a large mug and infuse for 4 minutes. Let chill. Combine the chilled tea with the verjus blanc in a Collins glass filled with ice. Add a straw.,Sencha tea;Licorice root tea;Hibiscus tea;Boiling water;Verjus blanc,Straw,Collins,Herbaceous,,,Stirred,On the Rocks,,Medium,Afternoon,,,
https://www.liquor.com/recipes/dale-degroff-bourbon-old-fashioned/,The Old Fashione,https://cdn.liquor.com/wp-content/uploads/2017/08/08074649/6-Rules-for-Drinking-Bourbone-bourbon-old-fashioned-720x720-slideshow-260x260.jpg,Try this quintessential Old Fashioned cocktail with your favorite bourbon. It’s been said that the original cocktail contains sugar bitters whiskey and water. This variation made by cocktail legend Dale Degroff adds muddled fruit and soda water for a lighter fruitier taste.,In an Old Fashioned glass muddle the bitters sugar orange wheel cherry and a splash of soda. Remove the orange rind add the bourbon and fill with ice. Garnish with a fresh orange wheel and cherry..,Angostura bitters;Sugar;Orange wheel;Maraschino cherry;Club soda;Bourbon,1 Fresh orange wheel;1 Cherry,Old Fashioned,Fruity/Citrus-forward;Spirit-forward;Sweet,Bourbon / American Whiskey;Whiskey,Classics,,On the Rocks,Medium,Medium,Afternoon;Dinner/Paired with food;Evening,,,
https://www.liquor.com/recipes/jacques-bezuidenhout-negroni/,Negroni,https://cdn.liquor.com/wp-content/uploads/2013/04/18110158/negroni-720x720-recipe.jpg,The Negroni is a classic Italian drink. Order a Negroni and you’ll be sure to Impress your bartender.,Add all of the ingredients to an Old Fashioned glass and fill with ice. Stir until cold and garnish with an orange half-wheel.,Campari;Gin (Beefeater or Tanqueray);Sweet vermouth (Martini &amp; Rossi Rosso or Cinzano Rosso),Orange half-wheel,Old Fashioned,Bitter;Spirit-forward,Gin;Liqueurs;Vermouth / Aperitif Wine,Classics,Stirred,On the Rocks,Strong,Simple,Aperitif,,,Beefeater;Campari;Cinzano;Martini &amp; Rossi;Plymouth;Tanqueray
https://www.liquor.com/recipes/erik-adkins-sazerac/,Sazerac cocktail recip,https://cdn.liquor.com/wp-content/uploads/2017/03/30140921/5-to-7-rules-for-drinking-rye-whiskey-720x720-article.jpg,Forget the Hurricane. The Sazerac is what you should drink in New Orleans. One of America’s earliest cocktails the Sazerac is a homegrown New Orleans specialty. Peychaud’s bitters are a key element and were created by Antoine Peychaud a French Quarter pharmacist who invented the cocktail in the 1830s. The Sazerac was originally made with cognac but an insect epidemic destroyed many French vineyards and resulted in the lasting switch to rye whiskey.,Rinse a chilled rocks glass with absinthe discarding any excess and set aside. In a mixing glass muddle the sugar cube and both bitters. Add the rye fill with ice and stir. Strain into the prepared glass. Twist a slice of lemon peel over the surface to extract the oils and then discard.,Absinthe;Sugar cube;Peychaud's bitters;Angostura bitters,Lemon peel,Rocks,Spirit-forward,Absinthe;Rye Whiskey,Classics,Stirred,Neat/Up,Strong,Medium,Afternoon;Aperitif;Dinner/Paired with food;Evening,Mardi Gras,,Russell's Reserve
https://www.liquor.com/recipes/negroni/,Negroni,https://cdn.liquor.com/wp-content/uploads/2018/05/08110806/negroni-720x720-recipe-260x260.jpg,Easy to make and refreshingly bitter the Negroni is said to have been invented in Florence by a dauntless Italian count who demanded that the bartender replace the club soda in his Americano with gin. It was a substitution that launched a thousand riffs. In its hundred-year history few cocktails have encouraged more frenzied experimentation than the beloved Negroni. Its one-to-one-to-one recipe of gin Campari and sweet vermouth has become the platform on which generations of drink mixers have left their thumbprint. But how do you mix the perfect version? Start by selecting the right base materials. The key to a great Negroni is finding a gin-vermouth pairing that complements rather than overpowers the bitter bold flavors of Campari. Once you zero in on a winning trio write it down memorize it and request it at your favorite bar. You’ll make the count proud.,Add all the ingredients into a mixing glass with ice and stir until well-chilled. Strain into a rocks glass filled with large ice cubes. Garnish with an orange peel.,Gin;Campari;Sweet vermouth,Orange peel,Rocks,Bitter;Spirit-forward,Gin;Liqueurs;Vermouth / Aperitif Wine,Classics,Stirred,On the Rocks,Strong,Medium,Aperitif;Evening,,,Bombay Sapphire;Campari
https://www.liquor.com/recipes/portrait-of-marevna/,Portrait of Marevna,https://cdn.liquor.com/wp-content/uploads/2018/05/03125426/11-Tequila-and-Mezcal-Cocktails-to-Drink-in-Bars-Now-solo-club-pdx-720x720-slideshow-260x260.jpg,The Solo Club invites Portlanders in for an extensive amari selection and bites like brown butter hummus and salt cod fritters. Bar manager Michael Harding crafts drinks like the Portrait of Marevna an homage to Diego Rivera’s early studies of Picasso and Spanish Cubism. Peppery Siete Leguas reposado tequila Bodegas Hidalgo Manzanilla sherry Cappelletti sfumato rabarbaro amaro Caperitif apéritif and a house-made radish simple syrup meld into a vegetal herbal sipper that finishes equal parts nutty briny and grassy. This recipe originally appeared as part of “11 Tequila and Mezcal Cocktails to Drink in Bars Now.”,Add all the ingredients into a mixing glass with ice and stir. Strain into a chilled coupe. Garnish with a radish fan (sliced radishes formed into a fan). *Radish simple syrup: Slice 3 radishes thinly and soak in 3 cups water for 24 hours. Strain and reserve radishes. Pour infusion into a small saucepan and simmer on low for 20 minutes or until water reduces by half. Add 3/4 cup sugar and reserved radish slices to the saucepan. Continue to reduce until sugar is completely dissolved and the syrup is viscous. Remove from heat and cool.,Cappelletti sfumato rabarbaro amaro;Radish-infused simple syrup,Radish fan,Coupe,Herbaceous,Tequila,Modern Classics,Stirred,Neat/Up,Medium,Medium,Evening,,,Caperitif;Cappelletti;Hidalgo;Siete Leguas
https://www.liquor.com/recipes/spicy-mint-avocado-margarita/,Spicy Mint Avocado Margarita,https://cdn.liquor.com/wp-content/uploads/2018/05/03110121/spicy-mint-avocado-margarita-720x720-article-260x260.jpg,Most people can recite the health benefits of the mighty avocado—loaded with nutrients antioxidants and plenty of that good fat—but few think of it as a cocktail ingredient. This Margarita recipe doubles down on the green muddling the superfruit with fresh mint and jalapeño for a warm-weather sipper that will make you feel good in more ways than one. ,Rim a double rocks glass with salt and set aside. Add the avocado jalapeño mint and lime juice into a mixing glass and muddle until the avocado is mashed. Add the tequila liqueur syrup and salt. Fill the glass with ice and shake until well-chilled. Strain into the prepared glass over fresh ice. Garnish with a mint sprig.,Avocado (approximately 2 tbsp);Jalapeño pepper (seeds removed);Fresh mint leaves;Fresh lime juice;Blanco tequila;Orange liqueur;Simple syrup;Salt,Salt rim;Mint sprig,Double rocks,Spicy;Sweet,Tequila,Modern Classics,Shaken,On the Rocks,Medium,Medium,Afternoon,Cinco de Mayo,Summer,Cazadores
https://www.liquor.com/recipes/maitai/,Mai Tai,https://cdn.liquor.com/wp-content/uploads/2018/05/13121706/mai-tai-720x720-recipe.jpg,While some Mai Tai variants call for pineapple juice this recipe omits it in favor of the more classic recipe favored by Martin Cate’s award-winning Tiki bar Smuggler’s Cove.,Add all ingredients into a shaker with crushed ice and shake vigorously until the shaker is well-chilled and frosty on the outside. Pour (unstrained) into a double Old Fashioned glass. Garnish with the rind of half of a juiced lime and a fresh mint sprig.,Fresh lime juice;Rock candy syrup (2 parts sugar 1 part water);Orgeat;Orange curaçao;Premium aged rum (such as Appleton Estate 12-year-old or El Dorado 12- year-old),Lime rind;Mint sprig,Double Old Fashioned,Sour;Sweet,Rum,Classics;Tiki / Tropical,Shaken,On the Rocks,Medium,Medium,Afternoon;Dinner/Paired with food;Evening,,,Appleton Estate;El Dorado
https://www.liquor.com/recipes/rum-old-fashioned/,Rum Old Fashioned,https://cdn.liquor.com/wp-content/uploads/2018/01/02144204/bacardi_rum_OF1-260x260.png,The most inspired take on the Old Fashioned might just be the one that includes dark rum.,Place a large ice cube into an Old Fashioned glass. Add all ingredients and stir for 5 seconds. Garnish with an orange twist.,Dark rum;Demerara syrup;Allspice dram;Orange bitters;Angostura bitters,Orange twist,Old Fashioned,Spirit-forward,Rum,Modern Classics,Stirred,On the Rocks,Medium,Simple,Evening,,,Bacardi 8
https://www.liquor.com/recipes/appleton-estate-daiquiri/,Estate Daiquiri,https://cdn.liquor.com/wp-content/uploads/2018/04/30140800/daquri-720x720-260x260.png,This premium spin on the Daiquiri will make it tough to go back to the traditional cocktail. The presence of Appleton Estate Reserve rum gives this Daiquiri an extra level of flavor depth and complexity. ,Add all the ingredients into a shaker with ice and shake. Strain into a coupe glass. Garnish with a lime wheel.,Appleton Estate Reserve rum;Simple syrup;Fresh lime juice,Lime wheel,Coupe,Fruity/Citrus-forward;Sweet,Rum,Tiki / Tropical,Shaken,Neat/Up,Medium,Medium,Afternoon,,,Appleton Estate
https://www.liquor.com/recipes/estate-old-fashioned/,Estate Old Fashioned,https://cdn.liquor.com/wp-content/uploads/2018/04/30131437/estateoldfashtion-720x720-260x260.png,Nothing against the traditional Old Fashioned but rum fans deserve their own version of the iconic cocktail. The use of Appleton Estate Reserve rum gives the classic a delectable and distinctly Jamaican twist.,Add the sugar cube two bitters and soda water into a mixing tin and muddle. Add the rum and stir gently until sugar is dissolved. Add ice and stir again. Express an orange peel over top and drop in to garnish.,Appleton Estate Reserve rum;Sugar cube;Orange bitters;Aromatic bitters;Soda water,Orange peel,,Bitter;Spirit-forward;Sweet,Rum,Classics,Stirred,On the Rocks,Strong,Medium,Evening,,,Appleton Estate
